RUBRIQUES BUDGETAIRES;"SALAIRE ET INDEM.
(1)";"CHARGES SOCIALES
(2)";"TRANSP. & FRAIS DE MISS.
(3)";"CARBUR. ET LUBRIF.
(4)";"MATERIEL ET FOURNIT.
(5)";"ABONN. EAU, ELEC, TELEPH.
(6)";"TRAVAUX & SCES A L'ENTREP.
(7)";"INTERVEN ET TRANSF.
(8)";TOTAUX
60   SECTION 60   DEPENSES DES SERVICES GENERAUX;;;;;;;;;
600   CHAPITRE 600   ADMINISTRATION GENERALE;;;;;;;;;
6000   ADMINISTRATION;4?848?000;334?000;2?000?000;6?250?000;5?545?000;10?000?000;500?000;1?200?000;30?677?000
60010   FONCTIONNEMENT DU CONSEIL ET DES COMMISSIONS;3?500?000;;1?000?000;;;;;;4?500?000
60011   FONCTIONNEMENT DE LA MUNICIPALITÉ;;;2?300?000;;3?000?000;;;;5?300?000
60012   FONCTIONNEMENT CABINET DU MAIRE;5?244?000;493?000;300?000;5?000?000;2?000?000;;;;13?037?000
60013   INDEMNITÉS DE FONCTION ET DE REPRÉSENTATION;9?046?000;;;;;;;;9?046?000
60015   FRAIS DE MISSIONS EN DEHORS DU TERRITOIRE NATIONALE;;;4?000?000;;;;;;4?000?000
60016   AUTRES DÉPENSES AU TITRE DES AUTORITÉS MUNICIPALES;3?000?000;475?000;;;;;;1?000?000;4?475?000
6002   ETAT CIVIL ET POPULATION;11?484?000;1?200?000;2?000?000;1?250?000;5?000?000;;3?370?000;500?000;24?804?000
6006   AUTRES DÉPENSES D'ADMINISTRATION GÉNÉRALE;48?651?000;;;;;;;;48?651?000
Sous-total chapitre 600;85?773?000;2?502?000;11?600?000;12?500?000;15?545?000;10?000?000;3?870?000;2?700?000;144?490?000
601   CHAPITRE 601   ADMINISTRATION FINANCIERE ET DOMANIALE;;;;;;;;;
6010   ADMINISTRATION;26?508?000;2?791?000;2?500?000;1?250?000;8?000?000;;5?000?000;;46?049?000
6016   AUTRES DÉPENSES RELATIVES AU DOMAINE COMMUNAL;2?000?000;;2?500?000;;8?000?000;;;;12?500?000
Sous-total chapitre 601;28?508?000;2?791?000;5?000?000;1?250?000;16?000?000;;5?000?000;;58?549?000
602   CHAPITRE 602   RECETTE MUNICIPALE(OU DE LA VILLE);;;;;;;;;
60   SECTION 60   DEPENSES DES SERVICES GENERAUX;;;;;;;;;
